,id,name,gender,dates,yearOfBirth,yearOfDeath,placeOfBirth,placeOfDeath,url,all,BirthCoords,BirthLat,BirthLon
3189,7629,"Nitsche, Frank",Male,1964,1964.0,,"Görlitz, Deutschland",,http://www.tate.org.uk/art/artists/frank-nitsche-7629,,"(51.1524553, 14.968894)",51.1524553,14.968894
3190,5755,"Nogueira, Lucia",Female,1950–1998,1950.0,1998.0,"Goiana, Brasil","London, United Kingdom",http://www.tate.org.uk/art/artists/lucia-nogueira-5755,,"(-16.6868912, -49.2647943)",-16.6868912,-49.2647943
3191,1709,"Noland, Kenneth",Male,1924–2010,1924.0,2010.0,"Asheville, United States","Port Clyde, United States",http://www.tate.org.uk/art/artists/kenneth-noland-1709,,"(35.5950581, -82.5514869)",35.5950581,-82.5514869
3192,6726,"Sultan, Donald",Male,born 1951,1951.0,,"Asheville, United States",,http://www.tate.org.uk/art/artists/donald-sultan-6726,,"(35.5950581, -82.5514869)",35.5950581,-82.5514869
3193,1710,"Nolde, Emil",Male,1867–1956,1867.0,1956.0,"Schleswig-Holstein, Deutschland",Seebüll,http://www.tate.org.uk/art/artists/emil-nolde-1710,,"(54.21936720000001, 9.696116700000001)",54.21936720000001,9.696116700000001
3194,1711,"Oakley, Alfred J.",Male,1878–1959,1878.0,1959.0,"High Wycombe, United Kingdom","Newbury, United Kingdom",http://www.tate.org.uk/art/artists/alfred-j-oakley-1711,,"(51.628611, -0.7482289999999999)",51.628611,-0.7482289999999999
3195,2189,"O'Connor, Andrew",Male,1874–1941,1874.0,1941.0,"Worcester, United States","Dublin, Éire",http://www.tate.org.uk/art/artists/andrew-oconnor-2189,,"(42.2625932, -71.8022934)",42.2625932,-71.8022934
3196,2191,"O'Conor, Roderic",Male,1860–1940,1860.0,1940.0,"Roscommon, Éire",France,http://www.tate.org.uk/art/artists/roderic-oconor-2191,,"(53.63401649999999, -8.181945899999999)",53.63401649999999,-8.181945899999999
3197,16018,"Ojeikere, J.D. Okhai",Male,1930–2014,1930.0,2014.0,Nigeria,,http://www.tate.org.uk/art/artists/jd-okhai-ojeikere-16018,,"(9.081999, 8.675277)",9.081999,8.675277
3198,7640,"Olesen, Henrik",Male,born 1967,1967.0,,"Esbjerg, Danmark",,http://www.tate.org.uk/art/artists/henrik-olesen-7640,,"(55.476466, 8.459405)",55.476466,8.459405
3199,2198,"Olitski, Jules",Male,1922–2007,1922.0,2007.0,"Gomel, Belarus","New York, United States",http://www.tate.org.uk/art/artists/jules-olitski-2198,,"(52.4313388, 30.99367)",52.4313388,30.99367
3200,2445,"Oliver, Isaac",Male,1560 or 5–1617,1560.0,1617.0,"Rouen, France","London, United Kingdom",http://www.tate.org.uk/art/artists/isaac-oliver-2445,,"(49.44323199999999, 1.099971)",49.44323199999999,1.099971
3201,1715,"Olivier, Herbert A.",Male,1861–1952,1861.0,1952.0,"Battle, United Kingdom","Hayling Island, United Kingdom",http://www.tate.org.uk/art/artists/herbert-a-olivier-1715,,"(50.917405, 0.483679)",50.917405,0.483679
3202,1716,"Olson, Eric",Male,1909 – 1996,1909.0,1996.0,"Malmö, Sverige",,http://www.tate.org.uk/art/artists/eric-olson-1716,,"(55.57905340000001, 13.0108705)",55.57905340000001,13.0108705
3203,7622,"Ondák, Roman",Male,born 1966,1966.0,,"Zilina, Slovenská Republika",,http://www.tate.org.uk/art/artists/roman-ondak-7622,,"(49.21944980000001, 18.7408001)",49.21944980000001,18.7408001
3204,1720,"Onslow-Ford, Gordon",Male,1912–2003,1912.0,2003.0,"Wendover, United Kingdom","Inverness, United States",http://www.tate.org.uk/art/artists/gordon-onslow-ford-1720,,"(51.761877, -0.739779)",51.761877,-0.739779
3205,4641,"Opie, Catherine",Female,born 1961,1961.0,,"Sandusky, United States",,http://www.tate.org.uk/art/artists/catherine-opie-4641,,"(41.4561754, -82.71168209999999)",41.4561754,-82.71168209999999
3206,406,"Opie, John",Male,1761–1807,1761.0,1807.0,"Saint Agnes, United Kingdom",,http://www.tate.org.uk/art/artists/john-opie-406,,"(50.3125085, -5.2036202)",50.3125085,-5.2036202
3207,1722,"Oppenheim, Dennis",Male,born 1938,1938.0,,"Electric City, United States",,http://www.tate.org.uk/art/artists/dennis-oppenheim-1722,,"(47.9310236, -119.0367115)",47.9310236,-119.0367115
3208,1723,"Opsomer, Isidore",Male,1878–1967,1878.0,1967.0,"Lier, België","Antwerpen, België",http://www.tate.org.uk/art/artists/isidore-opsomer-1723,,"(51.1302138, 4.5715093)",51.1302138,4.5715093
3209,10612,"Otero, Alejandro",Male,1921–1990,1921.0,1990.0,"El Manteco, Venezuela","Caracas, Venezuela",http://www.tate.org.uk/art/artists/alejandro-otero-10612,,"(7.351681, -62.5355518)",7.351681,-62.5355518
3210,1729,"Otreba, Ryszard",Male,born 1932,1932.0,,"Pszczyna, Polska",,http://www.tate.org.uk/art/artists/ryszard-otreba-1729,,"(49.9857805, 18.9477092)",49.9857805,18.9477092
3211,2205,"Oulton, Thérèse",Female,born 1953,1953.0,,"Shrewsbury, United Kingdom",,http://www.tate.org.uk/art/artists/therese-oulton-2205,,"(52.70730289999999, -2.7553268)",52.70730289999999,-2.7553268
